Box size
-0.1875,0.7853975000000002
Morse_node,Morse_tile,Morse_set,Box_center
1,274, ,1.40625,5.1050837499999995
1,275, ,1.21875,5.1050837499999995
1,276, ,1.40625,5.89048125
1,277, ,1.21875,5.89048125
1,278, ,1.03125,5.1050837499999995
1,279, ,0.84375,5.1050837499999995
1,280, ,1.03125,5.89048125
1,281, ,0.84375,5.89048125
1,282, ,0.65625,3.5342887499999995
1,283, ,0.46875,3.5342887499999995
1,284, ,0.65625,4.319686249999999
1,285, ,0.46875,4.319686249999999
1,286, ,0.28125,3.5342887499999995
1,287, ,0.09375,3.5342887499999995
1,288, ,0.28125,4.319686249999999
1,289, ,0.09375,4.319686249999999
1,291, ,0.65625,5.1050837499999995
1,292, ,0.46875,5.1050837499999995
1,293, ,0.65625,5.89048125
1,294, ,0.46875,5.89048125
1,295, ,0.28125,5.1050837499999995
1,297, ,0.09375,5.1050837499999995
1,300, ,0.28125,5.89048125
1,301, ,0.09375,5.89048125
1,303, ,-0.09375,-5.89048125
1,304, ,-0.28125,-5.89048125
1,305, ,-0.09375,-5.1050837499999995
1,306, ,-0.28125,-5.1050837499999995
1,307, ,-0.46875,-5.89048125
1,308, ,-0.65625,-5.89048125
1,309, ,-0.46875,-5.1050837499999995
1,310, ,-0.65625,-5.1050837499999995
1,311, ,-0.09375,-4.319686249999999
1,312, ,-0.28125,-4.319686249999999
1,313, ,-0.09375,-3.5342887499999995
1,314, ,-0.28125,-3.5342887499999995
1,315, ,-0.46875,-4.319686249999999
1,316, ,-0.65625,-4.319686249999999
1,317, ,-0.46875,-3.5342887499999995
1,318, ,-0.65625,-3.5342887499999995
1,319, ,-0.84375,-5.89048125
1,320, ,-1.03125,-5.89048125
1,321, ,-0.84375,-5.1050837499999995
1,322, ,-1.03125,-5.1050837499999995
1,323, ,-1.21875,-5.89048125
1,324, ,-1.40625,-5.89048125
1,325, ,-1.21875,-5.1050837499999995
1,326, ,-1.40625,-5.1050837499999995
1,327, ,-0.84375,-4.319686249999999
1,328, ,-1.03125,-4.319686249999999
1,329, ,-0.84375,-3.5342887499999995
1,330, ,-1.03125,-3.5342887499999995
1,331, ,-1.21875,-4.319686249999999
1,332, ,-1.40625,-4.319686249999999
1,333, ,-1.21875,-3.5342887499999995
1,334, ,-1.40625,-3.5342887499999995
1,335, ,-0.09375,-2.74889125
1,336, ,-0.28125,-2.74889125
1,337, ,-0.09375,-1.9634937500000003
1,338, ,-0.28125,-1.9634937500000003
1,339, ,-0.46875,-2.74889125
1,340, ,-0.65625,-2.74889125
1,342, ,-0.46875,-1.9634937500000003
1,343, ,-0.65625,-1.9634937500000003
1,344, ,-0.09375,-1.1780962500000003
1,345, ,-0.28125,-1.1780962500000003
1,346,2,-0.09375,-0.3926987500000001
1,347,2,-0.28125,-0.3926987500000001
1,348, ,-0.46875,-1.1780962500000003
1,349, ,-0.65625,-1.1780962500000003
1,350, ,-0.46875,-0.3926987500000001
1,351, ,-0.65625,-0.3926987500000001
1,352, ,-0.84375,-2.74889125
1,353, ,-1.03125,-2.74889125
1,354, ,-0.84375,-1.9634937500000003
1,355, ,-1.03125,-1.9634937500000003
1,356, ,-1.21875,-2.74889125
1,357, ,-1.40625,-2.74889125
